,dsport,normal,abnormal,excluded
0,53.0,586089.0,210295.0,False
1,80.0,205574.0,19397.0,False
2,6881.0,123066.0,0.0,1.0
3,5190.0,119280.0,39.0,False
4,111.0,83134.0,9508.0,False
5,25.0,82926.0,5229.0,False
6,0.0,14560.0,39355.0,False
7,143.0,48945.0,1792.0,False
8,22.0,50065.0,20.0,False
9,21.0,47025.0,3059.0,False
10,179.0,13721.0,5984.0,False
11,520.0,5416.0,3557.0,False
12,445.0,997.0,4909.0,False
13,514.0,1693.0,1847.0,False
14,138.0,3480.0,21.0,False
15,1723.0,1841.0,1569.0,False
16,53,2577.0,4.0,False
17,860,2398.0,0.0,1.0
18,6881,2090.0,0.0,1.0
19,80,1392.0,335.0,False
20,110,4.0,1634.0,False
21,8089,1442.0,0.0,1.0
22,135,793.0,647.0,False
23,5190,1280.0,0.0,1.0
24,3260,1009.0,0.0,1.0
25,3306,564.0,440.0,False
26,22,742.0,0.0,1.0
27,49160,669.0,2.0,False
28,111,530.0,124.0,False
29,5060,14.0,640.0,False
30,29644,645.0,0.0,1.0
31,1512,643.0,0.0,1.0
32,2627,637.0,1.0,False
33,42035,618.0,0.0,1.0
34,52579,603.0,0.0,1.0
35,25,524.0,69.0,False
36,1669,591.0,0.0,1.0
37,61083,585.0,0.0,1.0
38,49992,565.0,0.0,1.0
39,57561,542.0,0.0,1.0
40,18033,535.0,0.0,1.0
41,41939,516.0,0.0,1.0
42,24160,475.0,0.0,1.0
43,4569,454.0,14.0,False
44,25885,445.0,0.0,1.0
45,69,0.0,445.0,False
46,21,373.0,61.0,False
47,3354,425.0,0.0,1.0
48,8080,12.0,407.0,False
49,52561,410.0,0.0,1.0
50,137,0.0,400.0,False
51,179,230.0,164.0,False
52,7395,363.0,0.0,1.0
53,19414,347.0,0.0,1.0
54,30639,338.0,0.0,1.0
55,8088,303.0,34.0,False
56,58003,336.0,0.0,1.0
57,57588,334.0,0.0,1.0
58,143,300.0,28.0,False
59,32912,328.0,0.0,1.0
60,44685,325.0,0.0,1.0
61,38182,318.0,0.0,1.0
62,11680,318.0,0.0,1.0
63,3775,317.0,0.0,1.0
64,42532,317.0,0.0,1.0
65,139,9.0,304.0,False
66,8009,311.0,0.0,1.0
67,17511,305.0,0.0,1.0
68,63656,303.0,0.0,1.0
69,38742,301.0,0.0,1.0
70,5658,297.0,0.0,1.0
71,61097,296.0,0.0,1.0
72,19012,296.0,0.0,1.0
73,28001,295.0,0.0,1.0
74,49954,295.0,0.0,1.0
75,42130,293.0,0.0,1.0
76,10866,292.0,0.0,1.0
77,65504,292.0,0.0,1.0
78,26116,291.0,0.0,1.0
79,46896,291.0,0.0,1.0
80,38385,291.0,0.0,1.0
81,62821,291.0,0.0,1.0
82,7644,291.0,0.0,1.0
83,28875,290.0,0.0,1.0
84,27934,290.0,0.0,1.0
85,13142,288.0,0.0,1.0
86,18741,288.0,0.0,1.0
87,35719,288.0,0.0,1.0
88,28009,286.0,0.0,1.0
89,1254,285.0,0.0,1.0
90,54892,285.0,0.0,1.0
91,27976,284.0,0.0,1.0
92,20472,284.0,0.0,1.0
93,35397,284.0,0.0,1.0
94,18292,284.0,0.0,1.0
95,53740,284.0,0.0,1.0
96,56959,282.0,0.0,1.0
97,45448,280.0,1.0,False
98,445,29.0,252.0,False
99,17751,280.0,0.0,1.0
100,36106,280.0,0.0,1.0
101,9620,280.0,0.0,1.0
102,7342,279.0,0.0,1.0
103,42295,279.0,0.0,1.0
104,17087,279.0,0.0,1.0
105,12705,279.0,0.0,1.0
106,61745,279.0,0.0,1.0
107,64667,278.0,0.0,1.0
108,49146,277.0,0.0,1.0
109,16398,277.0,0.0,1.0
110,26866,277.0,0.0,1.0
111,34154,276.0,0.0,1.0
112,22886,276.0,0.0,1.0
113,39261,275.0,0.0,1.0
114,32953,274.0,1.0,False
115,13839,275.0,0.0,1.0
116,50688,275.0,0.0,1.0
117,35412,275.0,0.0,1.0
118,40614,274.0,0.0,1.0
119,52881,274.0,0.0,1.0
120,45548,274.0,0.0,1.0
121,3662,274.0,0.0,1.0
122,60686,274.0,0.0,1.0
123,56854,274.0,0.0,1.0
124,15554,272.0,1.0,False
125,52796,273.0,0.0,1.0
126,17600,272.0,0.0,1.0
127,44953,272.0,0.0,1.0
128,5315,270.0,0.0,1.0
129,3952,270.0,0.0,1.0
130,48596,268.0,1.0,False
131,37612,269.0,0.0,1.0
132,11228,268.0,0.0,1.0
133,40095,268.0,0.0,1.0
134,65093,268.0,0.0,1.0
135,6517,266.0,0.0,1.0
136,27214,266.0,0.0,1.0
137,8885,266.0,0.0,1.0
138,32547,266.0,0.0,1.0
139,40239,265.0,0.0,1.0
140,28924,264.0,0.0,1.0
141,40486,264.0,0.0,1.0
142,1258,262.0,1.0,False
143,46607,262.0,0.0,1.0
144,25555,262.0,0.0,1.0
145,50876,262.0,0.0,1.0
146,30122,262.0,0.0,1.0
147,38587,262.0,0.0,1.0
148,26343,262.0,0.0,1.0
149,11382,262.0,0.0,1.0
150,37181,261.0,0.0,1.0
151,60756,261.0,0.0,1.0
152,19509,261.0,0.0,1.0
153,36781,261.0,0.0,1.0
154,25409,261.0,0.0,1.0
155,26373,261.0,0.0,1.0
156,15320,261.0,0.0,1.0
157,3208,259.0,0.0,1.0
158,7767,259.0,0.0,1.0
159,47519,258.0,0.0,1.0
160,30724,258.0,0.0,1.0
161,31028,258.0,0.0,1.0
162,25974,257.0,1.0,False
163,24499,257.0,0.0,1.0
164,39676,257.0,0.0,1.0
165,5812,256.0,0.0,1.0
166,18640,256.0,0.0,1.0
167,56852,256.0,0.0,1.0
168,63906,255.0,0.0,1.0
169,62697,255.0,0.0,1.0
170,14740,255.0,0.0,1.0
171,30670,255.0,0.0,1.0
172,15843,255.0,0.0,1.0
173,20012,255.0,0.0,1.0
