,sport,normal,abnormal,excluded
0,1043.0,109015.0,111307.0,False
1,47439.0,104835.0,98434.0,False
2,0.0,14513.0,39355.0,False
3,138.0,3480.0,0.0,1.0
4,5060.0,472.0,50.0,False
5,2048.0,388.0,13.0,False
6,137.0,0.0,381.0,False
7,80.0,371.0,7.0,False
8,53.0,204.0,53.0,False
9,6881.0,212.0,2.0,False
10,68.0,0.0,210.0,False
11,5190.0,179.0,1.0,False
12,0,144.0,32.0,False
13,65535,73.0,87.0,False
14,25,137.0,0.0,1.0
15,1025,108.0,26.0,False
16,143,130.0,0.0,1.0
17,1336,108.0,3.0,False
18,21,110.0,0.0,1.0
19,1024,55.0,53.0,False
20,1916,99.0,2.0,False
21,111,101.0,0.0,1.0
22,65532,46.0,51.0,False
23,2013,97.0,0.0,1.0
24,1777,95.0,1.0,False
25,65534,52.0,43.0,False
26,1026,83.0,10.0,False
27,1889,90.0,2.0,False
28,1261,87.0,4.0,False
29,59084,90.0,1.0,False
30,1039,80.0,10.0,False
31,1027,79.0,10.0,False
32,65533,64.0,25.0,False
33,1652,87.0,1.0,False
34,1048,78.0,9.0,False
35,1301,86.0,1.0,False
36,1718,83.0,4.0,False
37,56724,85.0,1.0,False
38,1630,82.0,3.0,False
39,1209,82.0,3.0,False
40,1097,74.0,10.0,False
41,1087,75.0,9.0,False
42,1585,83.0,1.0,False
43,1419,83.0,1.0,False
44,1481,79.0,5.0,False
45,1636,81.0,3.0,False
46,1170,79.0,4.0,False
47,1031,74.0,9.0,False
48,1032,76.0,7.0,False
49,1799,81.0,2.0,False
50,1448,69.0,14.0,False
51,1911,83.0,0.0,1.0
52,1744,80.0,2.0,False
53,1708,80.0,2.0,False
54,1341,81.0,1.0,False
55,1352,79.0,3.0,False
56,22,82.0,0.0,1.0
57,1230,82.0,0.0,1.0
58,1035,71.0,11.0,False
59,1114,80.0,2.0,False
60,1962,71.0,11.0,False
61,1028,68.0,14.0,False
62,1983,81.0,1.0,False
63,49320,78.0,3.0,False
64,1528,80.0,1.0,False
65,1897,76.0,5.0,False
66,1540,77.0,4.0,False
67,1200,80.0,1.0,False
68,1580,79.0,2.0,False
69,1064,77.0,4.0,False
70,1103,81.0,0.0,1.0
71,1125,78.0,3.0,False
72,1642,79.0,2.0,False
73,1218,76.0,4.0,False
74,1273,78.0,2.0,False
75,1199,77.0,3.0,False
76,1895,79.0,1.0,False
77,1074,76.0,4.0,False
78,1898,77.0,3.0,False
79,1072,78.0,2.0,False
